net,length_um
net5,163.1
_089_,124.97
clknet_2_0__leaf_clk,94.61
_078_,91.23
clknet_2_1__leaf_clk,90.22
isolation_tree_state_machine_inst.current_state\[1\],89.37
_126_,88.39
_111_,87.24
input_buffer_inst.data_output\[0\],87.24
clknet_2_2__leaf_clk,86.86
_125_,86.56
_113_,85.72
_115_,74.88
clk,74.49
net4,71.22
_094_,68.44
clknet_2_3__leaf_clk,61.63
clknet_0_clk,61
_124_,54.1
net1,50.06
input_buffer_inst.bit_count\[0\],45.19
input_buffer_inst.data_ready,43.78
_086_,43.28
input_buffer_inst.data_output\[1\],41.7
input_buffer_inst.data_processed,39.42
input_buffer_inst.data_output\[6\],39.32
input_buffer_inst.data_output\[3\],34.995
input_buffer_inst.buffer\[2\],34.1
_083_,31.98
_143_,30.66
input_buffer_inst.data_output\[4\],30.2
input_buffer_inst.bit_count\[3\],29.62
_127_,29.275
input_buffer_inst.data_output\[2\],29.08
input_buffer_inst.bit_count\[1\],29.01
input_buffer_inst.buffer\[4\],28.88
net21,25.86
net34,25.18
input_buffer_inst.data_output\[5\],25.1
input_buffer_inst.buffer\[5\],23.7
net16,22.5
net18,21.54
net42,21.34
_134_,20.62
input_buffer_inst.buffer\[0\],20.42
_129_,20.23
input_buffer_inst.data_output\[7\],20.22
net22,20.095
net40,19.58
net28,19.54
net6,19.04
input_buffer_inst.buffer\[6\],18.66
isolation_tree_state_machine_inst.anomaly_pattern\[1\],18.425
sensor_data,18.25
_082_,18.1
_084_,18.06
input_buffer_inst.bit_count\[7\],18.02
input_buffer_inst.bit_count\[2\],18
net44,17.78
reset,17.44
isolation_tree_state_machine_inst.anomaly_pattern\[6\],17.28
net12,16.98
net7,16.66
_031_,16.31
_092_,16.14
isolation_tree_state_machine_inst.anomaly_pattern\[2\],15.62
net14,15.48
isolation_tree_state_machine_inst.anomaly_pattern\[0\],15.38
_025_,15.11
_104_,15
anomaly_detected,14.82
_079_,14.8
_049_,14.58
input_buffer_inst.data_temp\[7\],14.34
_135_,13.58
_085_,13.54
input_buffer_inst.data_temp\[2\],13.16
net32,13
_060_,12.9
_132_,12.84
_091_,12.72
_131_,12.5
_108_,12.42
_133_,12.14
_123_,11.94
_022_,11.87
_128_,11.7
_055_,11.38
input_buffer_inst.bit_count\[5\],11.38
net35,11.38
_017_,11.33
input_buffer_inst.buffer\[1\],11.2
_136_,11.16
net30,11.16
_043_,11.14
_081_,11.12
_059_,10.78
input_buffer_inst.buffer\[7\],10.54
input_buffer_inst.bit_count\[6\],10.5
input_buffer_inst.data_temp\[4\],10.4
net31,10.28
isolation_tree_state_machine_inst.anomaly_pattern\[7\],10.26
net29,10.12
_088_,10.08
_105_,9.84
_029_,9.66
_027_,9.59
net41,9.08
_077_,9
_044_,8.98
_048_,8.94
net36,8.94
_096_,8.86
_010_,8.83
net43,8.74
_057_,8.72
_002_,8.71
_023_,8.64
isolation_tree_state_machine_inst.current_state\[0\],8.62
_097_,8.6
input_buffer_inst.data_temp\[1\],8.6
_061_,8.56
net39,8.56
input_buffer_inst.bit_count\[4\],8.48
net3,8.44
_065_,8.205
_069_,8.04
_138_,7.96
_056_,7.86
net46,7.68
net23,7.66
_071_,7.64
_024_,7.6
input_buffer_inst.data_temp\[6\],7.22
net19,7.18
_139_,7.14
_121_,7.1
input_buffer_inst.buffer\[3\],7.1
_067_,7.025
_021_,6.77
_011_,6.76
_062_,6.72
_110_,6.72
_036_,6.38
_030_,6.31
net37,6.26
_007_,6.18
_074_,5.92
_047_,5.8
_141_,5.8
_013_,5.75
_087_,5.68
_093_,5.68
net38,5.52
_073_,5.46
_099_,5.38
_054_,5.34
isolation_tree_state_machine_inst.anomaly_pattern\[5\],5.14
_028_,5.1
_006_,4.97
input_buffer_inst.data_temp\[3\],4.92
_016_,4.85
_058_,4.56
_053_,4.54
input_buffer_inst.data_temp\[0\],4.42
_066_,4.1
_045_,4.08
_026_,4.05
_046_,4.02
_102_,4
net25,4
net26,4
_014_,3.88
_112_,3.88
isolation_tree_state_machine_inst.anomaly_pattern\[3\],3.88
_075_,3.845
_142_,3.74
net13,3.68
_034_,3.66
_008_,3.59
_063_,3.56
_114_,3.56
net10,3.55
_039_,3.54
_040_,3.54
_064_,3.54
_068_,3.54
_072_,3.54
_109_,3.54
isolation_tree_state_machine_inst.anomaly_pattern\[4\],3.54
net15,3.54
_103_,3.44
_118_,3.44
_119_,3.44
_090_,3.42
net45,3.42
_015_,3.35
input_buffer_inst.data_temp\[5\],3.22
isolation_tree_state_machine_inst.next_state\[0\],3.22
net47,3.22
_037_,3.2
_038_,3.2
_042_,3.08
net20,3.08
_120_,2.98
net8,2.96
net33,2.96
_001_,2.77
_018_,2.74
_035_,2.74
net11,2.74
net17,2.62
_100_,2.58
_107_,2.52
_117_,2.52
isolation_tree_state_machine_inst.next_state\[1\],2.52
_098_,2.5
_012_,2.28
_003_,2.23
_005_,2.23
_033_,2.23
_004_,2.21
_000_,2.18
_041_,2.18
_051_,2.18
_070_,2.18
_080_,2.18
_130_,2.18
_137_,2.18
net9,2.16
_101_,2.06
_106_,2.06
_122_,2.06
_140_,1.94
_020_,1.82
_076_,1.7
_009_,1.36
_019_,1.36
_032_,1.36
_050_,1.36
_052_,1.36
_095_,1.26
_116_,1.14
net2,1.14
net24,0.46
net27,0.46
